,Number,Name_of_Covered_Entity,Industry_Type,State,Business_Associate_Involved,Individuals_Affected,Date_of_Breach,Type_of_Breach,Location_of_Breached_Information,Date_Posted_or_Updated,Summary,breach_start,breach_end,year
412,411,Logan County Emergeny Ambulance Service Authority,Healthcare,WV,,12563,10/01/2011,Theft,Laptop,23/01/2014,,01/10/2011,NA,2011
413,412,Lawrence Memorial Hospital,Healthcare,KS,"Mid Continent Credit Services, Inc.",8275,09/10/2011,Unauthorized Access/Disclosure,Other,23/04/2014,,20/09/2011,28/10/2011,2011
414,413,Sutter Medical Foundation,Healthcare,AL,,943434,15/10/2011,Theft,Desktop Computer,23/01/2014,,15/10/2011,NA,2011
415,414,Medcenter One,Healthcare,ND,,650,21/10/2011,Theft,Laptop,23/01/2014,,21/10/2011,NA,2011
416,415,Dallas County Hospital District dba Parkland Health & Hospital System,Healthcare,TX,,2464,09/05/2011,Unauthorized Access/Disclosure,Paper,23/01/2014,,05/09/2011,NA,2011
417,416,University of Kentucky UK HealthCare,Healthcare,KY,,878,25/09/2011,Loss,Other Portable Electronic Device,23/01/2014,,25/09/2011,NA,2011
418,417,State of Tennessee Sponsored Group Health Plan,Healthcare,TN,,1770,10/06/2011,Unauthorized Access/Disclosure,Paper,23/01/2014,"An equipment operator at the state's postal facility set the machine to insert four (4) pages per envelope instead of one (1) page per envelope, which caused the PHI of four individuals to be sent to one address per envelope.  The error affected approximately 1770 enrollees. The letters contained information such as names, addresses, birth dates, and social security numbers. As a result, the CE retrained the employee, submitted a breach report to HHS, provided notice to the affected individuals, notified the media, created a toll-free number for information regarding the incident, posted notice on its website, modified policies to remove the SSN on templates for future mailings, and offered identity theft protection to the affected individuals. Following the OCR investigation, the CE provided reviewed its policies and procedures to ensure adequate safeguards are in place. 

",06/10/2011,NA,2011
419,418,Cleveland Clinic Florida,Healthcare,FL,,772,10/03/2011,Loss,Other,23/04/2014,,03/10/2011,NA,2011
420,419,"Jay C. Platt, DDS",Dental,IN,,10705,10/06/2011,Theft,Other,24/03/2014,,06/10/2011,NA,2011
421,420,Rite Aid Corporation ,Pharmacy,PA,,2900,10/07/2011,Other,Paper,23/01/2014,,07/10/2011,NA,2011
422,421,Advanced Occupational Medicine Specialists,Healthcare,IL,Blue Vantage Group,7226,10/12/2011,Unauthorized Access/Disclosure,Network Server,23/01/2014,,12/10/2011,NA,2011
423,422,Open MRI of Chicago,Healthcare,IL,Nation Wise Machine Buyers,2000,09/06/2011,Improper Disposal,Paper,23/01/2014,,06/09/2011,NA,2011
424,423,University of Nebraska Medical Center,Healthcare,NE,,611,15/11/2011,Theft,Paper,23/04/2014,,15/11/2011,NA,2011
425,424,Roberts S. Smith M.D. Inc.,Healthcare,GA,,17000,17/10/2011,Theft,Laptop,23/01/2014,,17/10/2011,NA,2011
426,425,"Paul C. Brown, MD, PS",Healthcare,WA,,4693,14/11/2011,Theft,Other,14/02/2014,,14/10/2011,17/10/2011,2011
428,427,Aegis Sciences Corporation,Healthcare,TN,,2185,22/11/2011,Theft,Laptop,23/04/2014,"OCR opened an investigation of the covered entity (CE), Aegis Science Corp., after the CE reported that a laptop computer and unencrypted external hard drive containing the electronic protected health information (ePHI) of 2,185 individuals were stolen from a workforce member's vehicle.  The ePHI included social security numbers, driver's license numbers, and other demographic information, as well as bank account information of fourteen individuals and credit card information of three individuals.  Upon discovering the breach, the CE filed a police report and hired a private investigator to recover the stolen items.  The CE also initiated plans to encrypt laptops, revise security procedures, retrain employees, and offer credit monitoring to affected individuals.  As a result of OCR's investigation, the CE completed a security risk analysis and risk management report and implemented new security policies and procedures to ensure adequate safeguards to protect ePHI.  The CE also provided media notification in the two localities with greater than 500 individuals affected.  Additionally, the CE encrypted all employee computers and removable media containing ePHI and retrained employees on the CE's confidentiality and security policies.",22/11/2011,NA,2011
429,428,"Soundpath Health, Inc",Healthcare,WA,,7581,22/11/2011,Theft,Laptop,14/02/2014,,22/11/2011,NA,2011
430,429,Concentra Health,Healthcare,TX,,870,30/11/2011,Theft,Laptop,23/01/2014,,30/11/2011,NA,2011
431,430,Sleep HealthCenters LLC,Healthcare,MA,,2988,23/11/2011,Theft,Laptop,13/03/2014,,23/11/2011,NA,2011
432,431,Smile Designs,Dentistry,FL,,1670,12/01/2011,Theft,Desktop Computer,23/01/2014,,01/12/2011,NA,2011
433,432,PBH,Healthcare,NC,Alamance Caswell Local Management Entity,50000,15/11/2011,Unauthorized Access/Disclosure,E-mail,23/01/2014,,15/11/2011,NA,2011
434,433,"CardioNet, Inc",Healthcare,PA,,1300,11/10/2011,Theft,Laptop,23/01/2014,,10/11/2011,NA,2011
435,434,"MDwise, Inc.",Healthcare,IN,RightNow Technologies,2700,02/10/2011,Unauthorized Access/Disclosure,Other,24/03/2014,,10/02/2011,NA,2011
437,436,Foundation Medical Partners,Healthcare,NH,,771,12/01/2011,Theft,Paper,02/06/2014,"Without permission from the covered entity (CE), an employee provided a list of patient's names to a local counseling center as the employee was leaving the CE to begin employment at the new counseling center in an attempt to coordinate care of the patients she was treating.  The list, containing the PHI of approximately 771 individuals, included names, dates of birth, addresses, phone numbers, names of the insurance carriers, and facility codes.  Following the disclosure, the CE provided breach notification to HHS, the media, and all individuals affected and sanctioned the former employee for violating its policies and procedures. The CE also changed its procedures for list management.  The CE sent a reminder to all of its health care providers regarding the handling of PHI and made plans to provide HIPAA compliance information in a quality assurance newsletter.",19/11/2011,01/12/2011,2011
439,438,Delta Dental of California,Dental,CA,,11646,12/02/2011,Other,Paper,23/01/2014,,22/12/2011,23/12/2011,2011
440,439,Muskogee Regional Medical Center,Healthcare,OK,,844,12/05/2011,Loss,Other,23/01/2014,,05/12/2011,NA,2011
441,440,Department of Medical Assistance Services,Healthcare,VA,"ACS, Affiliated Computer Services, Inc., A Xerox Company",1444,11/02/2011,Unauthorized Access/Disclosure,Paper,23/01/2014,,02/11/2011,16/11/2011,2011
444,443,Flex Physical Therapy,Healthcare,WA,,3100,30/12/2011,Theft,Desktop Computer,23/01/2014,,30/12/2011,NA,2011
445,444,Metro Community Provider Network,Community Services,CO,,3200,12/05/2011,Hacking/IT Incident,E-mail,23/01/2014,,05/12/2011,NA,2011
446,445,University of Miami ,Education,FL,,1219,24/11/2011,Theft,Other Portable Electronic Device,23/01/2014,,24/11/2011,NA,2011
447,446,UnitedHealth Group health plan single affiliated covered entity,Healthcare,MN,,6678,15/12/2011,Other,Paper,24/03/2014,,15/12/2011,NA,2011
448,447,"Triumph, LLC",Healthcare,NC,,2000,13/12/2011,Theft,Laptop,23/01/2014,,13/12/2011,NA,2011
449,448,Fairview Health Services,Healthcare,MN,Accretive Health,14000,25/07/2011,Theft,Laptop,23/01/2014,,25/07/2011,NA,2011
450,449,Loma Linda University Medical Center (LLUMC),Healthcare,CA,,1366,19/12/2011,Other,Paper,23/01/2014,,19/12/2011,NA,2011
451,450,Ford Motor Company Salaried Health Reimbursement Arrangement (HRA) Plan,Healthcare,MI,"Affiliated Computer Services, Inc.  (ACS, Inc.) A Xerox Company",1700,29/12/2011,Other,Other,24/03/2014,,29/12/2011,NA,2011
452,451,"Medco Health Solutions, Inc.",Healthcare,NJ,,1287,30/11/2011,Theft,Paper,20/06/2014," 

The covered entity (CE), Medco Health Solutions, mailed letters with incorrect addresses after a programming code in its mailing software caused corruption of its data.  The mailing contained the protected health information (PHI) of 4,341 individuals and included names, medication name and prescription number.  The CE provided breach notification to HHS, the media, and affected individuals.  Upon discovery of the breach, the CE immediately ceased using the update to its mailing software system.  As a result of OCR's investigation, the CE corrected the update to its mailing software system and established manual and automated quality control processes.  The breach incident involved a BA and occurred prior to the September 23, 2013, compliance date.  OCR verified that the CE had a proper BA agreement in place that restricted the BA's use and disclosure of PHI and required the BA to safeguard all PHI.

",30/11/2011,NA,2011
454,453,"Goshen Health System, Inc.",Healthcare,IN,,660,22/12/2011,Hacking/IT Incident,Other,23/01/2014,,22/12/2011,NA,2011
455,454,Georgetown University Hospital,Healthcare,DC,,1549,11/01/2011,Unauthorized Access/Disclosure,Paper,23/01/2014,,01/11/2011,NA,2011
458,457,Applegate Valley Family Medicine,Healthcare,OR,Dr. Trandinh,2300,12/01/2011,Unauthorized Access/Disclosure,Laptop,23/01/2014,,01/12/2011,17/12/2011,2011
459,458,"CardioNet, Inc.",Healthcare,PA,,728,29/12/2011,Theft,Laptop,23/01/2014,,29/12/2011,NA,2011
460,459,Presbyterian Healthcare Services,Healthcare,NM,"Beth Barrett Consulting, LLC",7000,29/12/2011,Theft,Laptop,13/03/2014,,29/12/2011,NA,2011
464,463,"Jeremaih J. Twomey, F.A.C.P., P.A.",Healthcare,TX,"Jeremaih J. Twomey, F.A.C.P., P.A.",2559,31/12/2011,Theft,Other,23/01/2014,,31/12/2011,NA,2011
465,464,Anchorage Community Mental Health Services Inc.,Healthcare,AK,,2743,20/12/2011,Unauthorized Access/Disclosure,Desktop Computer,23/01/2014,,20/12/2011,04/01/2012,2011
479,478,Chicago Musculoskeletal Institute/Metro Orthopedics,Healthcare,IL,,750,31/12/2011,Other,Network Server,24/03/2014,,31/12/2011,NA,2011
483,482,UnitedHealth Group health plan single affiliated covered entity,Healthcare,MN,,3537,28/06/2011,Unauthorized Access/Disclosure,Other,24/03/2014,,28/06/2011,NA,2011
491,490,awklein a med corp,Healthcare,CA,David Charles Rish,2000,02/01/2011,Theft,Other,23/01/2014,,01/02/2011,NA,2011
494,493,Rhinebeck Health Center/Center for Progressive Medicine,Healthcare,NY,,6745,11/05/2011,Theft,Desktop Computer,03/06/2014,"The CE's network server and two local computers were hacked and compromised by a computer virus which resulted in the disclosure of electronic protected health information (ePHI) of 6,745 individuals.  The ePHI included names, insurance numbers, diagnoses, medical histories, dates of birth, telephone numbers, and social security numbers.  Upon discovery of the breach, the CE shut down all computer and email systems to prevent unauthorized access to its network and core files.  In addition, the CE decommissioned the previously used server, deactivated the network router, disabled network access to ePHI, and discontinued the previously utilized backup.  As a result of OCR's investigation, the CE deployed a new real-time firewall and intrusion detection system and implemented new measures for software management.  In addition, the CE installed a new network server, deployed a new router with security subscription to actively monitor internal network traffic and external threat patterns, and implemented a centralized antivirus software system.",15/11/2011,14/12/2011,2011
495,494,Memorial Healthcare System,Healthcare,FL,,9497,08/01/2011,Other,Other,23/01/2014,,01/08/2011,12/02/2012,2011
506,505,"Safe Ride Services, Inc",Transport ,AZ,,42000,31/08/2011,Unauthorized Access/Disclosure,Network Server,23/01/2014,,31/08/2011,NA,2011
507,506,IntraCare North Hospital,Healthcare,TX,,750,18/08/2011,Theft,Paper,23/01/2014,,15/03/2011,18/08/2011,2011
517,516,Fairview Health Services,Healthcare,MN,Accretive Health,623,25/07/2011,Theft,Laptop,24/03/2014,,25/07/2011,NA,2011
519,518,UnitedHealth Group health plan single affiliated covered entity,Healthcare,MN,,19100,12/12/2011,Unauthorized Access/Disclosure,Other,23/01/2014,,28/06/2011,12/12/2011,2011
528,527,Independence Physical Therapy,Healthcare,CT,,925,08/01/2011,Theft,Desktop Computer,23/01/2014,,01/08/2011,NA,2011
568,567,Memorial Healthcare System,Healthcare,FL,,105646,07/05/2012,Theft,Electronic Medical Record,23/01/2014,,01/01/2011,05/07/2012,2011
575,574,Sierra Plastic Surgery,Healthcare,NV,,800,19/08/2011,Unauthorized Access/Disclosure,Network Server,23/01/2014,,19/08/2011,20/09/2011,2011
593,592,"First Step Counseling, Inc.",Healthcare,NJ,,638,05/01/2011,Theft,Paper,03/06/2014,"Two of the covered entity's (CE) employees photocopied documents containing 638 patients' protected health information (PHI) and disclosed the documents to their attorney.  The PHI included names, insurance numbers, diagnoses, dates of birth, telephone numbers, and social security numbers.  Upon discovery of the breach, the CE hired attorneys to seek immediate return of all photocopies that contained the PHI.  The CE provided breach notification to the affected individuals, HHS and the media.  As a result of OCR's investigation, the CE transferred to an electronic billing system that is password protected and secured patient files with a lock.  Further, the front desk has been positioned by a protective window and policies have been implemented to prevent patients from standing beside the reception desk.  The CE also reviewed and revised its consent forms and retrained all staff. ",01/05/2011,05/08/2011,2011
601,600,"WYATT DENTAL GROUP, LLC",Dental,LA,,10271,11/04/2011,Unauthorized Access/Disclosure,Electronic Medical Record,23/01/2014,,04/11/2011,15/04/2012,2011
628,627,"Coastal Behavioral Healthcare, Inc.",Healthcare,FL,,4907,04/11/2011,Theft,Paper,23/01/2014,,11/04/2011,NA,2011
640,639,Richard Switzer MD PC,Healthcare,MI,,4100,29/11/2011,Other,Laptop,24/03/2014,,29/11/2011,NA,2011
661,660,Baptist Health System,Healthcare,TX,,678,14/08/2011,Unauthorized Access/Disclosure,Electronic Medical Record,13/03/2014,,14/08/2011,NA,2011
675,674,Jackson Health System,Healthcare,FL,,566,05/06/2011,Other,Paper,23/01/2014,,26/05/2011,18/02/2012,2011
692,691,South Miami Hospital,Healthcare,FL,,834,06/01/2011,Unauthorized Access/Disclosure,Electronic Medical Record,23/01/2014,,01/06/2011,NA,2011
702,701,Empire Blue Cross Blue Shield,Healthcare,IN,Connextions c/o Empire BCBS,2608,11/01/2011,Unauthorized Access/Disclosure,Network Server,23/01/2014,,01/11/2011,01/10/2012,2011
703,702,Anthem Blue Cross Blue Shield (OH),Healthcare,IN,Connextions c/o Anthem BCBS,1678,10/01/2012,Unauthorized Access/Disclosure,Network Server,23/01/2014,,01/11/2011,01/10/2012,2011
704,703,Anthem Blue Cross Blue Shield (IN),Healthcare,IN,Connextions c/o Anthem BCBS,528,10/01/2012,Unauthorized Access/Disclosure,Network Server,23/01/2014,,01/11/2011,01/10/2012,2011
772,771,Sutter Health East Bay Region (Alta Bates Summit Medical Center; Sutter Delta Medical Center; Eden Medical Center),Healthcare,CA,Nelson Family of Companies,4479,03/01/2011,Unauthorized Access/Disclosure,E-mail,23/01/2014,,01/03/2011,NA,2011
781,780,"San Jose Medical Supply Co., Inc.",Healthcare,CA,Jesle Kuizon,800,10/01/2011,Hacking/IT Incident,Desktop Computer,23/01/2014,,01/10/2011,NA,2011
784,783,Louisiana State University Health Care Services Division,Healthcare,LA,,6994,12/01/2011,Unauthorized Access/Disclosure,Desktop Computer,23/01/2014,,01/12/2011,NA,2011
785,784,Oregon Health & Science University,Healthcare,OR,,1361,07/03/2013,Unauthorized Access/Disclosure,Other,31/01/2014,,01/01/2011,03/07/2013,2011
792,791,Hancock OB/GYN,Healthcare,IN,,1396,11/09/2011,Unauthorized Access/Disclosure,Electronic Medical Record,23/01/2014,,09/11/2011,17/06/2013,2011
794,793,Missouri Department of Social Services,Government,MO,"InfoCrossing, Inc.",1357,06/07/2013,Unauthorized Access/Disclosure,Paper,23/01/2014,,16/10/2011,07/06/2013,2011
798,797,Minne-Tohe Health Center/Elbowoods Memorial Health Center,Healthcare,ND,,10000,10/01/2011,Improper Disposal,Other,23/01/2014,,01/10/2011,NA,2011
839,838,Ferris State University - MI College of Optometry,Education,MI,,3947,12/01/2011,Hacking/IT Incident,Network Server,23/01/2014,,01/12/2011,NA,2011
921,920,"Robert B. Neves, M.D., Inc",Healthcare,CA,,611,05/08/2011,Theft,Laptop,24/01/2014,,08/05/2011,NA,2011
994,993,Kaiser Permanente Northern CA Department of Research,Government,CA,,5178,18/10/2011,Hacking/IT Incident,Network Server,02/06/2014,,18/10/2011,NA,2011
1032,1031,Options Counseling Center,Healthcare,NJ,,2828,05/01/2011,Unauthorized Access/Disclosure,Paper,18/06/2014,,01/05/2011,NA,2011
1041,1040,Jamaica Hospital Medical Center,Healthcare,NY,,26162,08/01/2011,Unauthorized Access/Disclosure,Desktop Computer,18/06/2014,,01/08/2011,NA,2011
28,27,Ashley and Gray DDS,Dental,MO,,9309,01/10/2010,Theft,Desktop Computer,23/01/2014,,10/01/2010,NA,2010
30,29,The Methodist Hospital,Healthcare,TX,,689,18/01/2010,Theft,Other,23/01/2014,"An unencrypted laptop computer was stolen from the covered entity's unlocked testing office.  The laptop computer contained the protected health information of approximately 689 individuals.  The protected health information involved in the breach included names, dates of birth, Social Security numbers, and the age, gender, race, and medication information of affected individuals.  Following the breach, the covered entity restricted the storage of electronic protected health information to network drives.  Additionally, OCR's investigation resulted in the covered entity improving their physical safeguards and in retraining employees.

",18/01/2010,NA,2010
32,31,Carle Clinic Association,Healthcare,IL,,1300,13/01/2010,Theft,Paper,23/01/2014,,13/01/2010,NA,2010
37,36,MMM Heath Care Inc. ,Healthcare,PR,"MSO of Puerto Rico, Inc. ",1907,02/04/2010,Theft,Paper,03/06/2014,"The covered entity's (CE) business associate (BA) erroneously merged two lists which led to the disclosure of protected health information (PHI) of 1,907 individuals.  The PHI included names, internal identification numbers, and the number of emergency room visits.  Upon discovery of the breach, the CE's BA established a quality control process in order to ensure adequate safeguards for that letters that are sent by mail.  As a result of OCR's investigation, the CE created and implemented additional policies and procedures for quality control of mailings.  The CE also provided training to all staff on its revised privacy and security policies and procedures.





",04/02/2010,NA,2010
38,37,PMC Medicare Choice,Healthcare,PR,MSO of Puerto Rico,605,02/04/2010,Theft,Paper,03/06/2014,"The covered entity's (CE) business associate (BA) erroneously merged two lists which led to the disclosure of protected health information (PHI) of 605 individuals.  The PHI included names, internal identification numbers, and the number of emergency room visits.  Upon discovery of the breach, the CE's BA established a quality control process in order to ensure adequate safeguards for that letters that are sent by mail.  As a result of OCR's investigation, the CE created and implemented additional policies and procedures for quality control of mailings.  The CE also provided training to all staff on its revised privacy and security policies and procedures.



",04/02/2010,NA,2010
41,40,Lucille Packard Children's Hospital,Healthcare,CA,,532,01/11/2010,Other,Desktop Computer,23/01/2014,,11/01/2010,NA,2010
42,41,University of New Mexico Health Sciences Center,Healthcare,NM,,1900,02/08/2010,Other,Desktop Computer,23/01/2014,,08/02/2010,NA,2010
45,44,Shands at UF,Healthcare,FL,,12580,27/01/2010,Theft,Laptop,23/01/2014,"A laptop containing certain information collected on approximately 12,580 individuals referred to Shands at UF GI Clinical Services was stolen from the private residence of an employee.  The stolen information included patient names, social security numbers, and medical record numbers.  As a result of the incident, the employee was counseled by her supervisor, issued written corrective action with a 3-day suspension, and provided additional HIPAA training.  OCR reviewed Shands at UF's most recent Risk Analysis and Risk Management Plans and they revealed no high risk findings related to encryption, workstation use, or physical security.  OCR's investigation found that Shands at UF has implemented appropriate technical safeguards, such as secure VPN network connections and network storage for workforce usage, encrypted USB portable flash drives, and PGP whole disk encryption.  

",27/01/2010,NA,2010
47,46,Thrivent Financial for Lutherans,Consulting/Finance,WI,,9500,29/01/2010,Theft,Laptop,23/01/2014,"On January 29, 2010, there was a break-in at one of the Thrivent's offices and five laptop computers were stolen; four of the five laptops were recovered.  The missing laptop computer contained the protected health information of approximately 9,400 individuals.    The protected health information involved in the breach included name, address, date of birth, social security number, prescription drugs, medical condition, age, weight, etc. Thrivent provided OCR with additional controls to remedy causes of security breach at various stages of implementation.  The actions taken by the CE prior to OCR's formal investigation brought the CE into compliance. 

",29/01/2010,NA,2010
48,47,North Carolina Baptist Hospital,Healthcare,NC,,554,15/02/2010,Theft,Paper,23/01/2014,,15/02/2010,NA,2010
49,48,Montefiore Medical Center,Healthcare,NY,,625,20/02/2010,Theft,Laptop,03/06/2014,"An unencrypted laptop computer containing the electronic protected health information (ePHI) of 625 individuals was stolen from the covered entity's (CE) mobile dental van.  The ePHI included names, dates of birth, medical record numbers and dental x-rays.  Upon discovery of the breach, the CE filed a police report and provided breach notification to HHS, the media and affected individuals.  As a result of OCR's investigation, the CE revised its procedures so that all ePHI is stored in a data center, rather than the mobile dental van laptop.  In addition, the CE encrypted all mobile dental van laptops and improved physical security for the van.  The CE developed a new policy on ePHI security and retrained all staff.  OCR obtained assurances that the CE implemented the corrective action listed above.",20/02/2010,NA,2010
50,49,"Ernest T. Bice, Jr. DDS, P.A.",Dental,TX,,21000,20/02/2010,Theft,Other Portable Electronic Device,23/01/2014,"Three unencrypted external back-up drives were stolen from a safe in the covered entity's locked office.  The laptop computer contained the protected health information of approximately 21,000 individuals.  The protected health information involved in the breach included names, addresses phone numbers, dates of birth, social security numbers, insurance information, and treatment histories.  Following the breach, the covered entity moved back-up data offsite and encrypted all workstations.  Additionally, OCR's investigation resulted in the covered entity improving their physical safeguards and in retraining employees.

",20/02/2010,NA,2010
51,50,Lee Memorial Health System,Healthcare,FL,,3800,29/01/2010,Other,Paper,23/01/2014,"The covered entity sent postcards to approximately 3,800 patients, which listed the patients' demographic information, and a statement that read, 'Your Physician Has Moved,'  with a name and description of the practice, Infectious Disease Specialist. The types of PHI involved were demographic and clinical information. Voluntary actions taken prior to OCR's investigation include the issuance of sanctions and review of policies and procedures.

",29/01/2010,NA,2010
52,51,"Laboratory Corporation of America/Dynacare Northwest, Inc.",Laboratory,WA,,5080,02/12/2010,Theft,Laptop,23/01/2014,"A laptop computer was stolen from a workforce member's car.  The laptop computer contained the protected health information of approximately 5080 individuals.  The protected health information involved in the breach included names, addresses, dates of birth, Social Security numbers, and lab results.  Following the breach, the covered entity encrypted all laptop computers.  

",12/02/2010,NA,2010
53,52,Mount Sinai Medical Center,Healthcare,FL,,2600,03/09/2010,Theft,Laptop,23/01/2014,,09/03/2010,NA,2010
54,53,Griffin Hospital,Healthcare,CT,,957,02/04/2010,Hacking/IT Incident,Network Server,23/01/2014,,04/02/2010,NA,2010
55,54,"Hypertension, Nephrology, Dialysis and Transplantation, PC",Healthcare,AL,,2465,03/06/2010,Theft,Laptop,23/01/2014,,06/03/2010,NA,2010
56,55,Reliant Rehabilitation Hospital North Houston,Healthcare,TX,"Computer Program and Systems, Inc. (CPSI)",768,02/09/2010,Unauthorized Access/Disclosure ,E-mail,23/01/2014,,09/02/2010,NA,2010
57,56,"Laboratory Corporation of America / US LABS / Dianon Systems, Inc",Laboratory,AZ,,2773,18/02/2010,Theft,Other Portable Electronic Device,23/01/2014,,18/02/2010,NA,2010
58,57,University of Pittsburgh Student Health Center,Healthcare,PA,,8000,03/11/2010,Theft,Paper,23/01/2014,,11/03/2010,NA,2010
59,58,Providence Hospital,Healthcare,MI,,83945,02/04/2010,Other,Other,23/01/2014,,04/02/2010,NA,2010
60,59,VHS Genesis Lab Inc. ,Healthcare,IL,,6800,01/10/2010,Loss,Paper,23/01/2014,,10/01/2010,NA,2010
61,60,John Muir Physician Network,Healthcare,CA,,5450,02/04/2010,Theft,Laptop,23/01/2014,,04/02/2010,NA,2010
62,61,Beatrice Community Hospital and Health Center,Healthcare,NE,"McKesson Information Solutions, LLC",660,19/03/2010,Other,Paper,23/01/2014,,19/03/2010,NA,2010
63,62,Pediatric Sports and Spine Associates,Healthcare,TX,,955,02/10/2010,Theft,Laptop,23/01/2014,"An unencrypted laptop was stolen from an employee's vehicle.  The laptop contained the protected health information of approximately 955 individuals.  The protected health information involved in the breach included names, addresses, dates of birth, social security numbers, diagnoses, medications and other treatment information.  Following the discovery of the breach, the covered entity revised policies, retrained staff and implemented additional physical and technical safeguards including encryption software.  The covered entity also removed the stolen laptop's access to the server, sanctioned the involved employee, notified the affected individuals and notified the local media.  

",10/02/2010,NA,2010
65,64,Tomah Memorial Hospital,Healthcare,WI,,600,19/03/2010,Other,Other,23/01/2014,,19/03/2010,NA,2010
66,65,"Praxair Healthcare Services, Inc. (Home Care Supply in NY)",Healthcare,CT,,54165,18/02/2010,Theft,Laptop,23/01/2014,"A laptop computer was stolen from the covered entity's office by a former employee after it had been damaged. The laptop computer contained the PHI of approximately 54,165 individuals.  The computer contained a limited amount of PHI, including client names and one or more of the following: addresses, phone numbers, social security numbers, insurance provider names and policy numbers, medical diagnostic codes or medical equipment.  Following the breach, the covered entity notified all affected individuals, the media, and HHS of the breach. Additionally, the covered entity completed its laptop encryption project to cover all PHI stored on computers in the office.  Additionally, OCR's investigation resulted in the covered entity reinforcing the requirements of HIPAA to its employees.

",18/02/2010,NA,2010
67,66,Massachusetts Eye and Ear Infirmary,Healthcare,MA,,3594,19/02/2010,Theft,Laptop,23/01/2014,,19/02/2010,NA,2010
69,68,South Carolina Department of Health and Environmental Control,Healthcare,SC,,2850,17/02/2010,Improper Disposal,Paper,23/01/2014,,17/02/2010,NA,2010
70,69,St. Joseph Heritage Healthcare,Healthcare,CA,,22012,03/06/2010,Theft,Desktop Computer,23/01/2014,"22 computers were stolen from Clinical Management Service office.Five of the stolen computers contained the protected health information of approximately 22,012 individuals. The protected health information involved in the breach included name, date of birth, social security number, referral number, encounter number, facility, member ID, diagnosis, procedure, and/or diagnosis code. As a result of this incident, St. Joseph notified the potentially affected individuals, notified the local media, installed security cameras, re-trained employees, and installed encryption software on all laptops and Computers enterprise-wide. OCR's investigation resulted in the covered entity improving their physical and technological safeguards and retraining employees.

",06/03/2010,NA,2010
71,70,Medical Center At Bowling Green,Healthcare,KY,,5148,24/03/2010,Theft,Other Portable Electronic Device,23/01/2014,,24/03/2010,NA,2010
72,71,GENERAL AGENCIES WELFARE BENEFITS PROGRAM,Government,TN,TOWERS WATSON,1874,02/05/2010,Loss,Other,23/01/2014,,05/02/2010,NA,2010
73,72,UnitedHealth Group health plan single affiliated covered entity,Healthcare,MN,,735,03/02/2010,Theft,Other,23/01/2014,,02/03/2010,NA,2010
75,74,Rockbridge Area Community Services,Community Services,VA,,500,03/12/2010,Theft,Laptop,23/01/2014,,12/03/2010,NA,2010
76,75,"Emergency Healthcare Physicians, Ltd.",Healthcare,IL,"Millennium Medical Management Resources, Inc.",180111,27/02/2010,Theft,Other Portable Electronic Device,23/01/2014,,27/02/2010,NA,2010
77,76,VA Eastern Colorado Health Care System,Healthcare,CO,,649,19/01/2010,Theft,Paper,19/06/2014,"A covered entity's (CE's) employee placed paper records containing protected health information (PHI) in an unsecured box that was left undiscovered in a public parking garage for four days.  The box contained the PHI of 649 patients.  The PHI included treatment records, productivity reports, coding information, names, medical treatments, conditions, diagnoses, and social security numbers.  Upon discovery of the breach, the CE notified the affected individuals and provided credit protection to those whose social security numbers had been breached.  The CE provided OCR with copies of its breach prevention policies and procedures. Following OCR's investigation, the employee who left the records resigned from her position and the CE improved its breach response procedures. ",19/01/2010,NA,2010
78,77,Miami VA Healthcare System,Healthcare,FL,,568,19/01/2010,Loss,Paper,23/01/2014,,19/01/2010,NA,2010
79,78,"Heriberto Rodriguez-Ayala, M.D.",Healthcare,TX,,4200,04/03/2010,Theft,Laptop,23/01/2014,,03/04/2010,NA,2010
80,79,Georgetown University Hospital,Healthcare,DC,,2416,26/03/2010,Theft,E-mail,23/01/2014,"An employee of the covered entity emailed protected health information (PHI) to an offsite research office (which is not itself a covered entity) in violation of the review preparatory to research protocol.  The research office stored the electronic information on an external hard drive that was later stolen.  The device contained the PHI of 2,416 individuals.  The PHI involved in the breach included names, dates of birth, and clinical information.  In response to this incident, the covered entity terminated transmission of the PHI to this research office and gave the responsible employee a verbal warning and counseling.  Additionally, the covered entity undertook a review of all research affiliations involving PHI of hospital patients to confirm that appropriate documentation and procedures are in place.

",26/03/2010,NA,2010
81,80,Silicon Valley Eyecare Optometry and Contact Lenses,Vision Care,CA,,40000,04/02/2010,Theft,Network Server,23/01/2014,,02/04/2010,NA,2010
82,81,Loma Linda University Health Care,Healthcare,CA,,584,04/04/2010,Theft,Desktop Computer,23/01/2014,,04/04/2010,NA,2010
83,82,Veterans Health Administration,Healthcare,DC,Heritage Health Solutions,656,22/04/2010,Theft,Laptop,23/01/2014,,22/04/2010,NA,2010
84,83,"State of New Mexico Human Services Department, Medical Assistance Division",Healthcare,NM,DentaQuest,9600,20/03/2010,Theft,Laptop,23/01/2014,,20/03/2010,NA,2010
85,84,Oconee Physician Practices,Healthcare,SC,,653,05/09/2010,Theft,Laptop,23/01/2014,,09/05/2010,NA,2010
86,85,University of Rochester Medical Center and Affiliates,Healthcare,NY,,2628,19/04/2010,Other,Paper,23/01/2014,,19/04/2010,NA,2010
